,date,Hubei,Italy,Guangdong,Henan,Zhejiang,Hunan,Anhui,Jiangxi,Shandong,Jiangsu,Chongqing,Washington,Sichuan,New York,Heilongjiang,Beijing,Shanghai,California,Hebei,Fujian,Guangxi,Shaanxi,Yunnan,Hainan,Guizhou,Hong Kong,Massachusetts,Tianjin,Shanxi,Gansu,Liaoning,Colorado,Jilin,Louisiana,Florida,Xinjiang,Ningxia,New Jersey,Georgia,Illinois,Texas,Pennsylvania,Virginia,Oregon,Tennessee,Wisconsin,Maryland,Ohio,Michigan,North Carolina,Connecticut,Minnesota,Nevada,Rhode Island,South Carolina,Qinghai,Iowa,Indiana,Nebraska,Kentucky,Arkansas,Arizona,Utah,New Mexico,District of Columbia,Macau,South Dakota,Kansas,New Hampshire,Delaware,Alabama,Mississippi,Montana,Vermont,Oklahoma,Hawaii,Missouri,Maine,Idaho,Wyoming,Tibet,Alaska,North Dakota,West Virginia
15,2020-02-20,62442,3,1332,1265,1175,1010,987,934,546,631,567,0,520,0,476,395,334,0,307,293,245,245,174,168,146,68,0,131,132,91,121,0,91,0,0,76,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
16,2020-02-21,62662,20,1333,1267,1203,1011,988,934,749,631,572,0,525,0,479,396,334,0,308,293,246,245,174,168,146,68,0,132,132,91,121,0,91,0,0,76,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17,2020-02-22,64084,62,1339,1270,1205,1013,989,934,750,631,573,0,526,0,479,399,335,0,309,293,249,245,174,168,146,69,0,135,132,91,121,0,91,0,0,76,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18,2020-02-23,64084,155,1342,1271,1205,1016,989,934,754,631,575,0,526,0,480,399,335,0,311,293,249,245,174,168,146,74,0,135,132,91,121,0,91,0,0,76,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
19,2020-02-24,64287,229,1345,1271,1205,1016,989,934,755,631,576,0,527,0,480,399,335,0,311,293,251,245,174,168,146,79,0,135,133,91,121,0,93,0,0,76,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20,2020-02-25,64786,322,1347,1271,1205,1016,989,934,756,631,576,0,529,0,480,400,336,0,311,294,252,245,174,168,146,84,0,135,133,91,121,0,93,0,0,76,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21,2020-02-26,65187,453,1347,1271,1205,1016,989,934,756,631,576,0,531,0,480,400,337,0,312,294,252,245,174,168,146,91,0,135,133,91,121,0,93,0,0,76,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
22,2020-02-27,65596,655,1347,1272,1205,1017,989,934,756,631,576,0,534,0,480,410,337,0,317,296,252,245,174,168,146,92,0,136,133,91,121,0,93,0,0,76,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23,2020-02-28,65914,888,1348,1272,1205,1017,990,935,756,631,576,0,538,0,480,410,337,0,318,296,252,245,174,168,146,94,0,136,133,91,121,0,93,0,0,76,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
24,2020-02-29,66337,1128,1349,1272,1205,1018,990,935,756,631,576,0,538,0,480,411,337,0,318,296,252,245,174,168,146,95,0,136,133,91,121,0,93,0,0,76,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
